Sampling Period,Municipality,Land use,Heavy metal,Heavy metal concentration (mg/kg DM),Remarks,Year,Sampling date
1985-1989,Clos du Doubs,Deciduous forest,nickel,17.3,-,1988,07.07.1988
1985-1989,Erstfeld,Grassland,nickel,12.6,-,1989,11.05.1989
2000-2004,Saint-Martin (VS),Grassland,nickel,9.7,-,2004,08.07.2004
1990-1994,Clos du Doubs,Deciduous forest,nickel,15.4,-,1993,17.08.1993
2005-2009,Saint-Martin (VS),Grassland,nickel,10.7,-,2009,18.06.2009
2000-2004,Erstfeld,Grassland,nickel,12.7,-,2004,14.04.2004
1995-1999,Ins,Crop cultivation,nickel,25.9,-,1995,22.03.1995
2010-2014,Entlebuch,Grassland,nickel,7,-,2013,24.04.2013
1995-1999,Saint-Martin (VS),Grassland,nickel,9.4,-,1999,20.07.1999
2005-2009,Landquart,Crop cultivation,nickel,31,-,2008,13.02.2008
1990-1994,Erstfeld,Grassland,nickel,12.5,-,1994,20.07.1994
2005-2009,Bettlach,Deciduous forest,nickel,8.6,-,2008,18.06.2008
1990-1994,Schleitheim,Crop cultivation,nickel,72.5,-,1991,27.03.1991
2005-2009,Orbe,Deciduous forest,nickel,11.5,-,2009,02.04.2009
1995-1999,Winterthur,Urban park,nickel,24.6,-,1998,26.02.1998
1995-1999,Ernen,Grassland,nickel,20.7,-,1999,07.07.1999
1995-1999,Glarus Nord,Grassland,nickel,40.5,-,1996,17.04.1996
2000-2004,Lugano,Urban park,nickel,34.3,-,2004,03.03.2004
2005-2009,Birwinken,Crop cultivation,nickel,25.4,-,2008,14.02.2008
1990-1994,Saint-Martin (VS),Grassland,nickel,8.5,-,1994,18.10.1994
2005-2009,Entlebuch,Grassland,nickel,7.2,-,2008,24.04.2008
1990-1994,Landquart,Crop cultivation,nickel,35.1,-,1993,04.08.1993
1995-1999,Erstfeld,Grassland,nickel,12.7,-,1999,01.06.1999
1990-1994,Glarus Nord,Grassland,nickel,40.2,-,1991,26.03.1991
1995-1999,La Sarraz,Crop cultivation,nickel,46.9,-,1995,12.04.1995
2010-2014,Attalens,Grassland,nickel,46.7,-,2013,03.04.2013
1995-1999,Novaggio,Deciduous forest,nickel,10,-,1998,27.08.1998
1990-1994,Marthalen,Deciduous forest,nickel,19.1,-,1993,01.09.1993
1985-1989,Disentis/Mustér,Grassland,nickel,14.9,-,1988,25.07.1988
2000-2004,Attalens,Grassland,nickel,46.8,-,2003,23.04.2003
1985-1989,Novaggio,Deciduous forest,nickel,10.1,-,1988,11.11.1988
2000-2004,Marthalen,Deciduous forest,nickel,19,-,2003,10.06.2003
2015-2019,Mörschwil,Grassland,nickel,26.2,-,2018,14.03.2018
2000-2004,Duggingen,Grassland,nickel,16,-,2003,17.04.2003
1990-1994,Attalens,Grassland,nickel,50.7,-,1993,03.11.1993
2000-2004,Frauenfeld,Deciduous forest,nickel,26.9,-,2003,27.05.2003
1995-1999,La Brévine,Grassland,nickel,22.9,-,1999,23.06.1999
2000-2004,Disentis/Mustér,Grassland,nickel,14.4,-,2003,07.07.2003
1985-1989,La Brévine,Grassland,nickel,23.4,-,1989,11.04.1989
2010-2014,Gais,Grassland,nickel,18.3,-,2014,10.04.2014
1990-1994,Frauenfeld,Deciduous forest,nickel,26.8,-,1993,01.09.1993
1985-1989,Muntogna da Schons,Grassland,nickel,16.3,-,1988,26.07.1988
1990-1994,La Brévine,Grassland,nickel,22.8,-,1994,09.11.1994
1995-1999,Disentis/Mustér,Grassland,nickel,14.1,-,1998,13.05.1998
2005-2009,Niederlenz,Deciduous forest,lead,30.6,-,2009,15.04.2009
1995-1999,Bettlach,Deciduous forest,lead,33.8,-,1998,08.01.1998
2005-2009,Frauenfeld,Deciduous forest,lead,23.1,-,2008,10.04.2008
1995-1999,Etoy,Crop cultivation,lead,17.4,-,1998,16.04.1998
2005-2009,Visp,Coniferous forest,lead,24.2,-,2009,02.04.2009
1995-1999,Aristau,Protected sites,lead,25.3,-,1999,06.01.1999
2010-2014,Lugano,Urban park,lead,118.5,-,2014,27.02.2014
2005-2009,Etoy,Crop cultivation,lead,17.4,-,2008,13.03.2008
1990-1994,Gsteig,Coniferous forest,lead,18.5,-,1993,13.10.1993
2000-2004,Winterthur,Urban park,lead,72.7,-,2003,24.04.2003
1995-1999,Duggingen,Grassland,nickel,17.6,-,1998,25.02.1998
1990-1994,Duggingen,Grassland,nickel,15.6,-,1993,28.04.1993
2005-2009,Jussy,Deciduous forest,nickel,37.5,-,2009,11.03.2009
2000-2004,Jussy,Deciduous forest,nickel,37.2,-,2004,21.09.2004
2015-2019,Ins,Crop cultivation,nickel,25.9,-,2015,17.03.2015
1990-1994,Köniz,Crop cultivation,nickel,17.6,-,1991,03.04.1991
1985-1989,Mörschwil,Grassland,nickel,28.7,-,1988,04.08.1988
2005-2009,Le Cerneux-Péquignot,Grassland,nickel,25.2,-,2009,07.05.2009
2015-2019,Duggingen,Grassland,nickel,18.2,-,2017,21.03.2017
2010-2014,Mörschwil,Grassland,nickel,27.1,-,2013,18.03.2013
2005-2009,Mörschwil,Grassland,nickel,26.6,-,2008,13.02.2008
2005-2009,Gais,Grassland,nickel,18.6,-,2009,23.04.2009
1995-1999,Attalens,Grassland,nickel,49,-,1998,04.03.1998
2005-2009,Rothenfluh,Deciduous forest,nickel,20,-,2009,29.04.2009
1990-1994,Mörschwil,Grassland,nickel,26.5,-,1993,03.08.1993
1990-1994,Gais,Grassland,nickel,19.1,-,1994,31.08.1994
2000-2004,Mörschwil,Grassland,nickel,27.6,-,2003,28.05.2003
2005-2009,Attalens,Grassland,nickel,46.3,-,2008,12.03.2008
1985-1989,Attalens,Grassland,nickel,49.6,-,1988,20.07.1988
2015-2019,Gais,Grassland,nickel,15.7,-,2019,01.05.2019
1985-1989,Rothenfluh,Deciduous forest,nickel,19.2,-,1989,31.05.1989
1985-1989,Jussy,Deciduous forest,nickel,38.8,-,1989,05.07.1989
2005-2009,Leuggern,Crop cultivation,nickel,14.7,-,2006,09.08.2006
1990-1994,Rothenfluh,Deciduous forest,nickel,19.4,-,1994,28.09.1994
2015-2019,Landquart,Crop cultivation,nickel,30.4,-,2017,22.02.2017
2000-2004,Rothenfluh,Deciduous forest,nickel,20.4,-,2004,19.08.2004
1995-1999,Gais,Grassland,nickel,18.2,-,1999,27.07.1999
1995-1999,Mörschwil,Grassland,nickel,26.9,-,1998,31.03.1998
2005-2009,Trub,Grassland,nickel,14.2,-,2008,23.04.2008
1995-1999,Kappelen,Deciduous forest,nickel,24.4,-,1998,08.01.1998
1990-1994,Trub,Grassland,nickel,14.3,-,1993,08.06.1993
1985-1989,Trub,Grassland,nickel,15.1,-,1988,27.04.1988
2000-2004,Kappelen,Deciduous forest,nickel,24.9,-,2003,08.07.2003
1990-1994,Muntogna da Schons,Grassland,nickel,17.3,-,1993,01.07.1993
2010-2014,Trub,Grassland,nickel,14.8,-,2013,24.04.2013
2005-2009,Frauenfeld,Deciduous forest,nickel,26.9,-,2008,10.04.2008
2000-2004,Trub,Grassland,nickel,14.3,-,2003,03.06.2003
2000-2004,Landquart,Crop cultivation,nickel,30.8,-,2003,12.08.2003
2015-2019,Trub,Grassland,nickel,15.2,-,2018,17.04.2018
2005-2009,Muntogna da Schons,Grassland,nickel,15.9,-,2008,03.06.2008
1995-1999,Frauenfeld,Deciduous forest,nickel,26.7,-,1998,31.03.1998
1995-1999,Rothenfluh,Deciduous forest,nickel,19.4,-,1999,07.01.1999
1995-1999,Muntogna da Schons,Grassland,nickel,15.7,-,1998,13.05.1998
1985-1989,Frauenfeld,Deciduous forest,nickel,27,-,1988,20.09.1988
2000-2004,Muntogna da Schons,Grassland,nickel,15.5,-,2003,22.09.2003
1995-1999,Trub,Grassland,nickel,14.4,-,1998,07.01.1998
1990-1994,Disentis/Mustér,Grassland,nickel,14.1,-,1993,29.06.1993
1990-1994,Binningen,Crop cultivation,nickel,24.1,-,1990,20.02.1990
1995-1999,Alpthal,Coniferous forest,nickel,18.3,-,1999,04.05.1999
2000-2004,Binningen,Crop cultivation,nickel,23.1,-,2000,21.03.2000
2000-2004,Cornol,Crop cultivation,nickel,17.9,-,2003,06.08.2003
1995-1999,Cornol,Crop cultivation,nickel,17.6,-,1998,21.10.1998
1985-1989,Binningen,Crop cultivation,nickel,23.5,-,1985,27.08.1985
1995-1999,Binningen,Crop cultivation,nickel,24,-,1995,01.03.1995
2015-2019,Binningen,Crop cultivation,nickel,21.9,-,2015,09.04.2015
2005-2009,L'Abbaye,Coniferous forest,nickel,23.9,-,2008,22.05.2008
2015-2019,Niedermuhlern,Crop cultivation,nickel,19.2,-,2016,22.03.2016
2000-2004,Coldrerio,Crop cultivation,nickel,31.2,-,2003,13.05.2003
1990-1994,Alpthal,Coniferous forest,nickel,17.7,-,1994,03.08.1994
2005-2009,Dübendorf,Crop cultivation,nickel,27.4,-,2005,07.07.2005
2010-2014,Pailly,Crop cultivation,nickel,25,-,2013,02.04.2013
1985-1989,Cornol,Crop cultivation,nickel,17.1,-,1988,07.07.1988
1985-1989,Wiedlisbach,Crop cultivation,nickel,21,-,1985,29.10.1985
2015-2019,Cornol,Crop cultivation,nickel,21.4,-,2018,27.03.2018
1990-1994,Zuzwil (BE),Crop cultivation,nickel,15,-,1993,28.04.1993
2000-2004,Alpthal,Coniferous forest,nickel,17,-,2004,17.06.2004
1985-1989,Lützelflüh,Crop cultivation,nickel,18.5,-,1988,24.10.1988
1990-1994,Lützelflüh,Crop cultivation,nickel,19.6,-,1993,26.04.1993
1990-1994,Campo (Vallemaggia),Coniferous forest,nickel,12.4,-,1993,21.09.1993
1995-1999,Niedermuhlern,Crop cultivation,nickel,15.4,-,1996,24.04.1996
2000-2004,L'Abbaye,Coniferous forest,nickel,22.9,-,2003,05.08.2003
1985-1989,Gempen,Crop cultivation,nickel,22.1,-,1988,13.04.1988
2010-2014,Lützelflüh,Crop cultivation,nickel,19.5,-,2013,15.04.2013
2005-2009,Lützelflüh,Crop cultivation,nickel,19.3,-,2008,23.04.2008
2015-2019,Lützelflüh,Crop cultivation,nickel,18.5,-,2017,15.03.2017
2000-2004,Lützelflüh,Crop cultivation,nickel,19.5,-,2003,03.06.2003
1985-1989,Kiesen,Crop cultivation,nickel,24.9,-,1987,22.06.1987
1990-1994,Kiesen,Crop cultivation,nickel,24.4,-,1992,19.10.1992
1995-1999,Gempen,Crop cultivation,nickel,20.8,-,1998,25.02.1998
2010-2014,Binningen,Crop cultivation,nickel,23.7,-,2010,03.03.2010
1985-1989,L'Abbaye,Coniferous forest,nickel,24.1,-,1988,02.11.1988
2005-2009,Niedermuhlern,Crop cultivation,nickel,16.5,-,2006,04.04.2006
1990-1994,Niedermuhlern,Crop cultivation,nickel,16.8,-,1991,03.04.1991
2005-2009,Binningen,Crop cultivation,nickel,23.7,-,2005,12.04.2005
2005-2009,Davos,Coniferous forest,nickel,6.6,-,2009,24.06.2009
2015-2019,Wiedlisbach,Crop cultivation,nickel,20.7,-,2015,16.04.2015
2000-2004,Haute-Ajoie,Crop cultivation,nickel,21.5,-,2003,30.10.2003
2015-2019,Haute-Ajoie,Crop cultivation,nickel,27.4,-,2018,27.03.2018
1985-1989,Santa Maria in Calanca,Coniferous forest,nickel,13,-,1988,09.11.1988
2010-2014,Birwinken,Crop cultivation,nickel,25.7,-,2013,06.03.2013
2005-2009,Ins,Crop cultivation,nickel,24.7,-,2005,16.08.2005
1995-1999,Campo (Vallemaggia),Coniferous forest,nickel,10.2,-,1998,27.08.1998
1990-1994,Dübendorf,Crop cultivation,nickel,27,-,1990,13.03.1990
2005-2009,Santa Maria in Calanca,Coniferous forest,nickel,11.4,-,2008,04.06.2008
1995-1999,Dübendorf,Crop cultivation,nickel,27.6,-,1995,05.04.1995
2005-2009,Vallon,Crop cultivation,nickel,67.8,-,2007,24.09.2007
1985-1989,Haute-Ajoie,Crop cultivation,nickel,22.4,-,1988,23.08.1988
1985-1989,Gsteig,Coniferous forest,nickel,6.8,-,1988,24.08.1988
1990-1994,Vallon,Crop cultivation,nickel,66,-,1992,19.10.1992
2010-2014,Haute-Ajoie,Crop cultivation,nickel,21.7,-,2013,15.04.2013
2000-2004,Birwinken,Crop cultivation,nickel,25.1,-,2003,10.06.2003
1985-1989,Birwinken,Crop cultivation,nickel,26.3,-,1988,26.10.1988
2005-2009,Gsteig,Coniferous forest,nickel,7.1,-,2008,07.08.2008
2010-2014,Vallon,Crop cultivation,nickel,68.4,-,2012,20.03.2012
2000-2004,Eschenbach (LU),Crop cultivation,nickel,24.7,-,2001,31.05.2001
1985-1989,Dübendorf,Crop cultivation,nickel,28.2,-,1985,30.10.1985
1985-1989,Campo (Vallemaggia),Coniferous forest,nickel,13.1,-,1988,10.11.1988
2005-2009,La Sarraz,Crop cultivation,nickel,47.3,-,2005,31.05.2005
2010-2014,Wiedlisbach,Crop cultivation,nickel,20.7,-,2010,18.03.2010
2005-2009,Alpthal,Coniferous forest,nickel,18.1,-,2009,03.06.2009
2000-2004,Pailly,Crop cultivation,nickel,25.2,-,2003,05.08.2003
2010-2014,Cornol,Crop cultivation,nickel,18.7,-,2013,15.04.2013
1985-1989,Pailly,Crop cultivation,nickel,23.8,-,1988,16.08.1988
1985-1989,Hendschiken,Crop cultivation,nickel,14.1,-,1987,04.08.1987
2005-2009,Campo (Vallemaggia),Coniferous forest,nickel,12.7,-,2008,14.05.2008
1990-1994,Möhlin,Crop cultivation,nickel,18.3,-,1991,27.03.1991
2010-2014,Zuzwil (BE),Crop cultivation,nickel,15.6,-,2013,04.03.2013
2000-2004,Dübendorf,Crop cultivation,nickel,28.7,-,2000,22.02.2000
1985-1989,Zuzwil (BE),Crop cultivation,nickel,15.2,-,1988,18.04.1988
2010-2014,Eschenbach (LU),Crop cultivation,nickel,24.6,-,2011,23.03.2011
2000-2004,Campo (Vallemaggia),Coniferous forest,nickel,12.8,-,2003,14.05.2003
1995-1999,Eschenbach (LU),Crop cultivation,nickel,24.1,-,1996,06.03.1996
2005-2009,Eschenbach (LU),Crop cultivation,nickel,24,-,2006,23.03.2006
1985-1989,Realp,Grassland,nickel,4,-,1989,19.09.1989
2000-2004,Realp,Grassland,nickel,3.5,-,2004,07.07.2004
1995-1999,Avully,Crop cultivation,nickel,19.9,-,1996,10.04.1996
2015-2019,Le Cerneux-Péquignot,Grassland,nickel,21.8,-,2019,26.03.2019
1995-1999,Realp,Grassland,nickel,3.5,-,1999,07.07.1999
1995-1999,Le Cerneux-Péquignot,Grassland,nickel,24.6,-,1999,23.06.1999
2010-2014,Le Cerneux-Péquignot,Grassland,nickel,25.9,-,2014,19.03.2014
1995-1999,Marthalen,Deciduous forest,nickel,19.4,-,1998,30.06.1998
1995-1999,Köniz,Crop cultivation,nickel,17.3,-,1996,06.06.1996
1995-1999,Ependes (VD),Grassland,nickel,23.9,-,1999,26.04.1999
2015-2019,Ebikon,Grassland,nickel,27.5,-,2019,28.02.2019
2000-2004,Glarus Nord,Grassland,nickel,41.4,-,2001,27.06.2001
1985-1989,Ebikon,Grassland,nickel,26.5,-,1989,29.03.1989
1995-1999,Ebikon,Grassland,nickel,26.6,-,1999,06.01.1999
2000-2004,Bettlach,Deciduous forest,nickel,8.2,-,2003,30.09.2003
2005-2009,Novaggio,Deciduous forest,nickel,7.7,-,2008,15.05.2008
1985-1989,Le Cerneux-Péquignot,Grassland,nickel,24.3,-,1989,11.04.1989
1990-1994,Realp,Grassland,nickel,3.7,-,1994,27.07.1994
2005-2009,Realp,Grassland,nickel,3.9,-,2009,01.07.2009
1985-1989,Duggingen,Grassland,nickel,16.1,-,1988,05.07.1988
2010-2014,Payerne,Grassland,nickel,29.2,-,2010,04.03.2010
2005-2009,Duggingen,Grassland,nickel,17.3,-,2008,07.05.2008
1990-1994,Nesslau,Grassland,nickel,8.7,-,1994,31.08.1994
1985-1989,Hochdorf,Grassland,nickel,23.9,-,1986,14.10.1986
2010-2014,Duggingen,Grassland,nickel,18.2,-,2013,26.06.2013
2000-2004,Payerne,Grassland,nickel,29.4,-,2000,04.04.2000
1985-1989,Avully,Crop cultivation,nickel,19.7,-,1986,14.08.1986
2000-2004,Niederlenz,Deciduous forest,nickel,12.1,-,2004,05.10.2004
1995-1999,Payerne,Grassland,nickel,29.3,-,1995,12.04.1995
2015-2019,Hochdorf,Grassland,nickel,21.6,-,2016,05.04.2016
1990-1994,Le Cerneux-Péquignot,Grassland,nickel,23.8,-,1994,09.11.1994
1995-1999,Hochdorf,Grassland,nickel,23.9,-,1996,06.03.1996
2000-2004,Le Cerneux-Péquignot,Grassland,nickel,24.8,-,2004,17.05.2004
1985-1989,Marthalen,Deciduous forest,nickel,19,-,1988,16.11.1988
2010-2014,Hochdorf,Grassland,nickel,21.9,-,2011,23.03.2011
2005-2009,Marthalen,Deciduous forest,nickel,18.9,-,2008,10.04.2008
1990-1994,Novaggio,Deciduous forest,nickel,9.7,-,1993,22.09.1993
1990-1994,Niederlenz,Deciduous forest,nickel,11.8,-,1994,15.03.1994
1990-1994,Aadorf,Grassland,nickel,44.6,-,1994,13.09.1994
2005-2009,Hochdorf,Grassland,nickel,22,-,2006,23.03.2006
1985-1989,Aadorf,Grassland,nickel,43,-,1989,17.10.1989
2000-2004,Köniz,Crop cultivation,nickel,17.7,-,2001,15.08.2001
1995-1999,Niederlenz,Deciduous forest,nickel,11.8,-,1999,09.03.1999
2000-2004,La Sarraz,Crop cultivation,nickel,47.5,-,2000,04.04.2000
1990-1994,Hochdorf,Grassland,nickel,23.8,-,1991,26.03.1991
2010-2014,La Sarraz,Crop cultivation,nickel,46.5,-,2010,17.03.2010
1985-1989,Niederlenz,Deciduous forest,nickel,11.8,-,1989,26.04.1989
1985-1989,La Sarraz,Crop cultivation,nickel,46.9,-,1985,17.09.1985
1990-1994,Ins,Crop cultivation,nickel,24.6,-,1990,06.03.1990
2000-2004,Zuzwil (BE),Crop cultivation,nickel,15.1,-,2003,08.07.2003
1995-1999,Zuzwil (BE),Crop cultivation,nickel,15.2,-,1998,06.01.1998
1995-1999,Lützelflüh,Crop cultivation,nickel,19.6,-,1998,05.01.1998
2005-2009,Gempen,Crop cultivation,nickel,20.6,-,2008,28.02.2008
2005-2009,Zuzwil (BE),Crop cultivation,nickel,15.4,-,2008,21.02.2008
1990-1994,L'Abbaye,Coniferous forest,nickel,22.8,-,1993,27.10.1993
2015-2019,Zuzwil (BE),Crop cultivation,nickel,17.9,-,2018,26.03.2018
1985-1989,Davos,Coniferous forest,nickel,7.5,-,1989,18.10.1989
2005-2009,Ernen,Grassland,nickel,20.6,-,2009,24.04.2009
2005-2009,Ebikon,Grassland,nickel,26.6,-,2009,09.04.2009
2000-2004,Ernen,Grassland,nickel,20.7,-,2004,20.04.2004
1985-1989,Bettlach,Deciduous forest,nickel,7.8,-,1988,22.06.1988
2005-2009,Glarus Nord,Grassland,nickel,41.5,-,2006,27.03.2006
1990-1994,Ebikon,Grassland,nickel,26.9,-,1994,22.03.1994
2000-2004,Ebikon,Grassland,nickel,26.8,-,2004,31.03.2004
1990-1994,Oensingen,Crop cultivation,nickel,31.3,-,1993,07.07.1993
2005-2009,Vouvry,Crop cultivation,nickel,33.5,-,2009,12.03.2009
1985-1989,Ernen,Grassland,nickel,20.5,-,1989,09.08.1989
2010-2014,Ins,Crop cultivation,nickel,25.8,-,2010,23.03.2010
2005-2009,Küssnacht (SZ),Grassland,nickel,15,-,2015,05.05.2015
2000-2004,Hochdorf,Grassland,nickel,22,-,2001,31.05.2001
2000-2004,Novaggio,Deciduous forest,nickel,7.9,-,2003,14.05.2003
2000-2004,Küssnacht (SZ),Grassland,nickel,15,-,2010,15.04.2010
1995-1999,Küssnacht (SZ),Grassland,nickel,15.2,-,2005,24.08.2005
1990-1994,Bettlach,Deciduous forest,nickel,8.8,-,1993,18.08.1993
1995-1999,Nesslau,Grassland,nickel,9.2,-,1999,27.07.1999
1985-1989,Nesslau,Grassland,nickel,9.2,-,1989,26.09.1989
1995-1999,Eschenbach (LU),Crop cultivation,mercury,0.17,-,1996,06.03.1996
2010-2014,Eschenbach (LU),Crop cultivation,mercury,0.1,-,2011,23.03.2011
2000-2004,Wartau,Special crops,mercury,0.01,-,2002,14.08.2002
1995-1999,Campo (Vallemaggia),Coniferous forest,mercury,0.1,-,1998,27.08.1998
2005-2009,Eschenbach (LU),Crop cultivation,mercury,0.1,-,2006,23.03.2006
1990-1994,Möhlin,Crop cultivation,mercury,0.13,-,1991,27.03.1991
1995-1999,Cornol,Crop cultivation,mercury,0.05,-,1998,21.10.1998
1995-1999,Sant'Antonino,Special crops,mercury,0.04,-,1998,17.03.1998
1985-1989,Oensingen,Crop cultivation,mercury,0.08,-,1988,27.06.1988
1990-1994,Wartau,Special crops,mercury,0.04,-,1992,20.10.1992
1995-1999,Hendschiken,Crop cultivation,mercury,0.1,-,1997,24.09.1997
1990-1994,Hendschiken,Crop cultivation,mercury,0.1,-,1992,20.10.1992
1990-1994,Dübendorf,Crop cultivation,mercury,0.07,-,1990,13.03.1990
1985-1989,Hendschiken,Crop cultivation,mercury,0.16,-,1987,04.08.1987
2005-2009,Hendschiken,Crop cultivation,mercury,0.03,-,2007,21.03.2007
2000-2004,Zuzwil (BE),Crop cultivation,mercury,0.02,-,2003,08.07.2003
1985-1989,Dübendorf,Crop cultivation,mercury,0.05,-,1985,30.10.1985
1995-1999,Dübendorf,Crop cultivation,mercury,0.12,-,1995,05.04.1995
1990-1994,Campo (Vallemaggia),Coniferous forest,mercury,0.14,-,1993,21.09.1993
2010-2014,Cornol,Crop cultivation,mercury,0,-,2013,15.04.2013
1990-1994,Wiedlisbach,Crop cultivation,mercury,0.14,-,1990,20.02.1990
2015-2019,Langenthal,Mixed forest,mercury,0.17,-,2019,11.04.2019
1990-1994,Sant'Antonino,Special crops,mercury,0.04,-,1993,22.09.1993
2005-2009,Alpthal,Coniferous forest,mercury,0.13,-,2009,03.06.2009
1985-1989,Langenthal,Mixed forest,mercury,0.14,-,1989,29.03.1989
2010-2014,Montanaire,Mixed forest,mercury,0.04,-,2014,01.04.2014
1990-1994,Conthey,Special crops,mercury,0.09,-,1990,09.05.1990
2000-2004,Langenthal,Mixed forest,mercury,0.14,-,2004,10.06.2004
1985-1989,Wald (ZH),Coniferous forest,mercury,0.23,-,1988,06.09.1988
1995-1999,Wartau,Special crops,mercury,0.02,-,1997,15.10.1997
2005-2009,Cornol,Crop cultivation,mercury,0,-,2008,27.02.2008
1985-1989,Cornol,Crop cultivation,mercury,0.09,-,1988,07.07.1988
2000-2004,Alpthal,Coniferous forest,mercury,0.13,-,2004,17.06.2004
2015-2019,Hendschiken,Crop cultivation,mercury,0.03,-,2017,16.03.2017
1995-1999,Chamoson,Special crops,mercury,0.45,-,1999,07.09.1999
1985-1989,La Sarraz,Crop cultivation,mercury,0.07,-,1985,17.09.1985
2000-2004,Dübendorf,Crop cultivation,mercury,0.06,-,2000,22.02.2000
1985-1989,Sant'Antonino,Special crops,mercury,0.06,-,1988,13.12.1988
1985-1989,St. Moritz,Protected sites,mercury,0.13,-,1988,08.11.1988
1995-1999,Härkingen,Crop cultivation,mercury,0.09,-,2005,12.04.2005
1995-1999,Alpthal,Coniferous forest,mercury,0.16,-,1999,04.05.1999
1995-1999,Winterthur,Urban park,mercury,0.3,-,1998,26.02.1998
1990-1994,Alpthal,Coniferous forest,mercury,0.22,-,1994,03.08.1994
2015-2019,Wartau,Special crops,mercury,0.01,-,2016,05.04.2016
2000-2004,Wiedlisbach,Crop cultivation,mercury,0.16,-,2000,22.02.2000
2000-2004,Coldrerio,Crop cultivation,mercury,0.07,-,2003,13.05.2003
1990-1994,Avully,Crop cultivation,mercury,0.1,-,1991,06.08.1991
2005-2009,Avully,Crop cultivation,mercury,0.2,-,2006,15.03.2006
2000-2004,St. Stephan,Grassland,mercury,0.05,-,2003,11.09.2003
1995-1999,Entlebuch,Grassland,mercury,0.1,-,1998,18.03.1998
1990-1994,Glarus Süd,Grassland,mercury,0.16,-,1994,03.08.1994
1985-1989,Bettlach,Deciduous forest,mercury,0.1,-,1988,22.06.1988
2005-2009,Küssnacht (SZ),Grassland,mercury,0.08,-,2015,05.05.2015
2005-2009,La Sarraz,Crop cultivation,mercury,0.09,-,2005,31.05.2005
1985-1989,Buchegg,Grassland,mercury,0.06,-,1989,04.04.1989
2010-2014,Payerne,Grassland,mercury,0.09,-,2010,04.03.2010
1990-1994,Ernen,Grassland,mercury,0.08,-,1994,19.10.1994
2010-2014,Pailly,Crop cultivation,mercury,0.02,-,2013,02.04.2013
1990-1994,Pailly,Crop cultivation,mercury,0.08,-,1993,27.10.1993
2005-2009,Roggwil (TG),Special crops,mercury,0.1,-,2006,11.07.2006
2000-2004,Roggwil (TG),Special crops,mercury,0.1,-,2001,27.06.2001
2015-2019,Etoy,Crop cultivation,mercury,0.02,-,2017,14.02.2017
2000-2004,Avully,Crop cultivation,mercury,0.2,-,2001,15.08.2001
2010-2014,Hendschiken,Crop cultivation,mercury,0.04,-,2012,22.03.2012
1995-1999,St. Moritz,Protected sites,mercury,0.17,-,1998,16.07.1998
2015-2019,Pailly,Crop cultivation,mercury,0.01,-,2017,14.03.2017
1990-1994,Visp,Coniferous forest,mercury,0.18,-,1994,19.10.1994
2005-2009,Etoy,Crop cultivation,mercury,0.02,-,2008,13.03.2008
1985-1989,Alpthal,Coniferous forest,mercury,0.18,-,1989,27.06.1989
1990-1994,Cornol,Crop cultivation,mercury,0.08,-,1993,17.08.1993
1985-1989,Wiedlisbach,Crop cultivation,mercury,0.12,-,1985,29.10.1985
2015-2019,Cornol,Crop cultivation,mercury,0,-,2018,27.03.2018
2000-2004,Hendschiken,Crop cultivation,mercury,0.04,-,2002,07.05.2002
2000-2004,Visp,Coniferous forest,mercury,0.19,-,2004,10.06.2004
2000-2004,Pailly,Crop cultivation,mercury,0.01,-,2003,05.08.2003
2000-2004,Cornol,Crop cultivation,mercury,0,-,2003,06.08.2003
2005-2009,Pailly,Crop cultivation,mercury,0.01,-,2008,13.03.2008
1985-1989,Pailly,Crop cultivation,mercury,0.07,-,1988,16.08.1988
1995-1999,Dällikon,Special crops,mercury,0.06,-,1998,26.02.1998
1985-1989,Coldrerio,Crop cultivation,mercury,0.11,-,1988,14.12.1988
1990-1994,Scuol,Coniferous forest,mercury,0.07,-,1993,30.06.1993
1995-1999,Val-de-Ruz,Crop cultivation,mercury,0.11,-,1996,10.04.1996
2005-2009,Scuol,Coniferous forest,mercury,0.05,-,2008,03.07.2008
1990-1994,Santa Maria in Calanca,Coniferous forest,mercury,0.13,-,1993,21.09.1993
2010-2014,Coldrerio,Crop cultivation,mercury,0.06,-,2013,29.01.2013
2000-2004,Dällikon,Special crops,mercury,0.05,-,2003,24.06.2003
2005-2009,Coldrerio,Crop cultivation,mercury,0.06,-,2008,12.02.2008
2010-2014,Schleitheim,Crop cultivation,mercury,0.11,-,2011,01.03.2011
